Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Elearning Add Feedback Bank,Chrome 120.0.0.0,,,25-01-2024 15:28:46,25-01-2024 15:29:17,30.866s,PASSED
,,,,,,,
Test Cases/CMS Elearning/elearning,Chrome 120.0.0.0,,,25-01-2024 15:28:46,25-01-2024 15:29:17,30.548s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,25-01-2024 15:28:47,25-01-2024 15:28:50,3.693s,PASSED
maximizeWindow(),Chrome 120.0.0.0,,,25-01-2024 15:28:50,25-01-2024 15:28:51,0.225s,PASSED
"navigateToUrl(""http://130.211.243.37:96/login"")",Chrome 120.0.0.0,,,25-01-2024 15:28:51,25-01-2024 15:28:55,4.434s,PASSED
"setText(findTestObject(""Object Repository/E-Learning/Page_Login  Elearning CMS/input_email""), ""admin@indocyber.com"")",Chrome 120.0.0.0,,,25-01-2024 15:28:55,25-01-2024 15:28:56,1.153s,PASSED
"setEncryptedText(findTestObject(""Object Repository/E-Learning/Page_Login  Elearning CMS/input_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 120.0.0.0,,,25-01-2024 15:28:56,25-01-2024 15:28:57,0.535s,PASSED
takeScreenshot(),Chrome 120.0.0.0,,,25-01-2024 15:28:57,25-01-2024 15:28:57,0.459s,PASSED
"click(findTestObject(""Object Repository/E-Learning/Page_Login  Elearning CMS/button_Login""))",Chrome 120.0.0.0,,,25-01-2024 15:28:57,25-01-2024 15:28:58,0.395s,PASSED
delay(3),Chrome 120.0.0.0,,,25-01-2024 15:28:58,25-01-2024 15:29:02,4.058s,PASSED
takeScreenshot(),Chrome 120.0.0.0,,,25-01-2024 15:29:02,25-01-2024 15:29:02,0.457s,PASSED
"click(findTestObject(""Object Repository/E-Learning/Page_Home  Elearning CMS/span_Feedback Bank""))",Chrome 120.0.0.0,,,25-01-2024 15:29:02,25-01-2024 15:29:04,1.673s,PASSED
"navigateToUrl(""http://130.211.243.37:96/feedback"")",Chrome 120.0.0.0,,,25-01-2024 15:29:04,25-01-2024 15:29:04,0.244s,PASSED
"click(findTestObject(""Object Repository/E-Learning/Page_Feedback Bank  Elearning CMS/button_Tambah                              _c47226""))",Chrome 120.0.0.0,,,25-01-2024 15:29:04,25-01-2024 15:29:07,2.724s,PASSED
"click(findTestObject(""E-Learning/Page_Feedback Bank  Elearning CMS/expand_Choose Level""), STOP_ON_FAILURE)",Chrome 120.0.0.0,,,25-01-2024 15:29:07,25-01-2024 15:29:07,0.705s,PASSED
"setText(findTestObject(""E-Learning/Page_Feedback Bank  Elearning CMS/Search_Level""), ""Level 1"")",Chrome 120.0.0.0,,,25-01-2024 15:29:07,25-01-2024 15:29:08,0.974s,PASSED
"sendKeys(findTestObject(""E-Learning/Page_Feedback Bank  Elearning CMS/Search_Level""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,25-01-2024 15:29:08,25-01-2024 15:29:10,1.771s,PASSED
"click(findTestObject(""E-Learning/Page_Feedback Bank  Elearning CMS/expand_Choose Module""))",Chrome 120.0.0.0,,,25-01-2024 15:29:10,25-01-2024 15:29:11,0.559s,PASSED
"setText(findTestObject(""E-Learning/Page_Feedback Bank  Elearning CMS/Search_Module""), ""Module 1"")",Chrome 120.0.0.0,,,25-01-2024 15:29:11,25-01-2024 15:29:12,0.950s,PASSED
"sendKeys(findTestObject(""E-Learning/Page_Feedback Bank  Elearning CMS/Search_Module""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,25-01-2024 15:29:12,25-01-2024 15:29:12,0.686s,PASSED
"setText(findTestObject(""Object Repository/E-Learning/Page_Feedback Bank  Elearning CMS/input_title""), ""Pertanyaan 1"")",Chrome 120.0.0.0,,,25-01-2024 15:29:12,25-01-2024 15:29:13,0.947s,PASSED
"click(findTestObject(""Object Repository/E-Learning/Page_Feedback Bank  Elearning CMS/input_isActive""))",Chrome 120.0.0.0,,,25-01-2024 15:29:13,25-01-2024 15:29:14,1.000s,PASSED
takeScreenshot(),Chrome 120.0.0.0,,,25-01-2024 15:29:14,25-01-2024 15:29:15,0.399s,PASSED
"click(findTestObject(""Object Repository/E-Learning/Page_Feedback Bank  Elearning CMS/button_Save""))",Chrome 120.0.0.0,,,25-01-2024 15:29:15,25-01-2024 15:29:15,0.333s,PASSED
"takeScreenshotAsCheckpoint(""Success_add_FeedbackBank"")",Chrome 120.0.0.0,,,25-01-2024 15:29:15,25-01-2024 15:29:16,1.352s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,25-01-2024 15:29:16,25-01-2024 15:29:17,0.375s,PASSED
